Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed
2,Mochi,2,266,0,2,1,5,7,1,1,2,1,2,1,1,0,41401,45913f9a39b989a7c554be66403f0d45,1,"Mochi was found abandon in a little box near my office. She has little white socks and she likes to be cuddled! She's a mischievous, playful yet adorable kitty! Unfortunately the amount of cats (10) we're having and living in a condominium can't allow us to keep her for long term... hope to find her a home with full of love and care for her! Kindly contact me for more info!",652787a1f,5.0,3
1,7 Puppies,1,307,0,3,2,7,0,2,2,2,2,2,1,7,0,41326,27decc3f571f54ac92229d5afe57c19a,0,"Puppies for adoption- PJ Tropicana~ Adorable puppies for adoption near PJ tropicana. Mama dog had gave birth to 9 puppies last month, 2 had died and 7 are surviving. we are looking any kind souls who are willing to give them a loving home, you can make their life different. Interested please contact Siew Looi",2eb4fa594,5.0,3
1,A88,2,307,307,2,2,7,0,2,2,2,1,2,1,1,0,41326,eba983b85e34963999d476ccada91619,0,For Adoption,ce768b010,3.0,3
2,Baby Kittens,1,266,266,3,1,4,7,2,1,2,2,3,1,3,0,41326,ba2ed53835f071deb31da82a384654ce,0,"Kittens age approx 2 weeks. Found them nearby the post box of Block E, Arena Green Apartment, Bukit Jalil, Kuala Lumpur. Mother cat is not seen nearby.",3d889fe46,2.0,3
1,Coco,2,103,307,2,1,2,0,2,2,2,2,2,1,1,0,41326,93135c99bd79564288a9554aef595282,0,The mother of the puppy is a German Shepherd mix,6366dd2f9,1.0,2
1,Jack,2,307,0,3,2,4,7,1,1,3,3,3,1,3,0,41330,39bc0d4d83554ae09a4a3b31b88d9059,1,The puppy Borned outside our house front gate. We hope someone can come to adopt them. They are cute and healthy. I don’t want they die on the street. Thanks,14bbc5876,3.0,4
2,"M'sia Day Kitty:Boyboy,YY & Girlgal",3,266,265,3,3,6,7,1,1,2,2,2,1,3,0,41326,63b60b8da35085adcc45418118258587,0,"(From left, as at profile picture) Dark gray kitty: Boyboy (male), born on 14 Sept. ; White and golden/orange kitty: YY a.k.a. Ginger (male), born on 14 Sept. ; and Light gray kitty: Girlgal (female), born on 13 Sept. . These 3 lovely, friendly and playful kittens are babies of our own cat, Meow Mi. As we are already having 4 adult cats in our small apartment, we are now looking for kind-hearted and responsible cat-lover to give them a permanent new home.",55f34f8f5,12.0,2
1,,1,307,0,3,1,2,7,2,1,2,2,2,1,5,0,41326,e92885eb1a02ba1c32a367ca00becc0b,0,5 puppies are in desperate need of a loving home. Mixed breed and very adorable. 3 males and 2 females. `,2469e58fd,6.0,4
2,Male Kittens,3,265,266,1,1,6,7,1,2,2,1,2,1,2,0,41327,fd970cc91d06d82eebf046340137b272,0,For more info contact Alexis,db10909d5,2.0,2
1,Barney,2,307,189,1,1,0,0,2,2,1,1,2,1,1,150,41401,757ce9afb48e2cc6636758a12f0daaad,0,"Urgent Need of a home!!! I got this stray (2 month old pup) to my house but my current 2 dogs are still not able to accept him. Too much of barking and neighbours complaining. Please do assist... Thank you Currently located near the Gasing Veterinary Hospital at PJ, Selangor. RM is for deworming, vaccination and cage (40""). Email me add: saran.",fd740c8dc,4.0,1
2,Kittens,4,266,0,3,2,6,7,1,1,2,2,2,1,2,0,41401,8e7c39e50bc1927ac33b057857068e52,0,playfull and healthy kittens.,9daaa4e8f,4.0,4
1,Doggie R4,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,41401,b770bac0ca797cf1433c48a35d30c4cb,0,Female-3mths+ healthy and playful. she can eat dry food and rice. need to find an animal lover to give her a sweet home.,d50e11ec5,2.0,3
1,Yoda,2,218,307,1,1,7,0,2,1,2,1,2,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,"Yoda and his two siblings and mom were rescued mid October in Jalan Ipoh. They were trying to cross a street around 1 a.m. His mother is a small size terrier. The pups are likely to grow to medium to large size in maturity. Yoda is a very active adorable pup. He has very unique dalmatian like markings on his legs and chest. Vaccination and neutering are COMPULSORY, cost to be borne by adopter. Please call if you have time to nurture a young puppy.",51398fac1,3.0,3
1,,48,205,0,1,1,0,0,1,2,1,1,2,1,1,0,41401,2b5c7eb524958470e7c84624c91ae29c,0,Th dog was adopted from Petfinder. I have to give up the dog cos my family is shifting to a condominium and the Management do not allow pets within its premises.,bb05c1ce8,0.0,1
2,Adorable Siblings Ipoh,1,266,0,3,1,4,7,2,1,2,2,2,1,2,0,41330,60689896aa0edff3a4f05b890bdafd26,0,Hi friends these kittens were found by my friend when she was walking her dog. These 2 adorable siblings kept on following her dog. No heart to live them there she took them home. We very much hope that they will get a home and a loving family. If you think you can open your home for these siblings you may contact me at.,8c7949266,5.0,2
2,Koko,2,266,0,1,2,0,0,1,1,2,2,2,1,1,0,41326,dcef30bd2e575a04b3b353809fc7f04c,0,Koko was born on the 9th of February,6cd1cac68,2.0,3
2,,1,266,0,3,2,4,7,1,1,2,2,2,1,4,0,41401,5fa084df1a63951f05e2014cd7a8e71f,0,I found them wandering around. They lost their mother. Cute and active. They would love to get a home.,991b35363,5.0,3
2,Shorty,6,265,0,2,2,4,7,1,2,1,1,1,1,1,0,41401,638b74ed6b098c239184625b1211ecee,0,LOOKING FOR A FOREVER HOME FOR HER,2ea365a6f,2.0,4
2,Jojo Boy,2,265,266,1,6,7,0,2,2,2,1,2,1,1,50,41326,438a9bdce8ef4d5948fc40e422d34d0d,0,"We have updated Jojo Boy's latest photos. 20/5/ Adorable domestic medium hair kitten looking for new home. He is a bi-colour kitten, about 2.5 months old now. He has beautiful, snowy white fur on the chest and grey-blue marks on the head & back of the body. His blue colour is so rare, looks like the British Short's blue. he has a straight, long tail. He has his flea treatment done on 19th May. He was de-wormed today, 20th May. He is feeding on kibbles now. He is healthy, cuddle, very active and playful. He likes following people wherever you go. He is well toilet trained & could be let go at anytime. *RM 50 adoption fee would be paid to Cat Charity Club (CCC) for rescuing stray cats. *Another RM neutering / spaying deposit would be fully refundable once the surgery done. Anyone interested, please call .",d17892c89,11.0,2
1,"The Chocokids: T-boy, Luna & Inky",1,307,0,3,1,2,0,2,1,1,1,2,1,5,0,41326,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,"5 adorable 2-month old puppies up for adoption, one male named Brindle (with patchy black and brown coloured fur) and other 4 all female, two are black and two others are brownish black. All have been dewormed and able to eat soft can food. I am looking for adopters commited to spaying them upon adoption. Spaying can be done at SPECIAL RATE of RM only (Normal spaying fee RM or more) at my vet in Taipan, Subang. Address of clinic is Kinik Veterinar Mayo, 11A, USJ 10/1G, Subang Jaya and name of doctor is Dr. Khor. Since the puppies are young, payment is to be made first to the vet then you only need to show the receipt to spay when they are old enough. Please spay to reduce strays! Reducing strays saves lives! Saving lives is good for your karma! If interested to adopt, please contact Mdm Jocelyn at. Thank you!",694cc5569,12.0,3
2,Boboi,2,266,0,1,1,7,0,1,1,3,3,2,1,1,0,41326,086b127285cf268a1bff66683bf8a9c6,0,Location: IIUM / UIA Gombak Contact no:,e5b7f6fbe,2.0,2
2,*blue Eyes- Stripey*,1,265,0,2,2,5,7,2,2,2,2,2,1,1,0,41336,84296cd53ffc747a6a0e49c5d5134bfc,0,Stripey has orange and cream stripes.. this baby needs you love and care. Please adopt!,4a2ecd24c,2.0,1
1,"Female Puppy, 6 Weeks",1,307,307,2,4,0,0,2,1,2,2,2,1,1,0,41327,4f730224c4425d230360cd399ff6cf13,0,"Female puppy for adoption, 6 weeks. Please call Jesse at or Mr Mun at if you can provide forever loving home to her",f4a6e9cec,1.0,1
1,Doodo,1,307,0,2,1,2,0,2,1,3,3,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,Lovely pup looking for a forever home. Commitment to spay is compulsory. If u are interested to adopt pls contact Amy,fb507a1cb,3.0,3
1,Zoe,2,307,0,2,1,2,7,2,1,2,1,2,1,1,0,41326,89ecc814114cca3991ee12706216b2f9,3,"Found this little beauty on my night walk last Sunday. She has displayed quite a quiet temperament, does not make much noise. I would definitely keep her had it not been that I live in a high rise building where space is constricted. I also have another young adult dog with me. I would appreciate finding a loving home for this little darling.",20bf4bf39,5.0,1
1,Chocolat,19,141,0,1,2,0,0,3,1,1,1,1,1,1,0,41326,ff2706dc254bc6be344700ca26e7d14a,0,"Chocolat is very friendly and playful. Healthy, active...love kids and other dogs. Neutered, well trained, respectful, etc.... Looking for a loving and caring family preferably with kids or other dog. Freedom is his moto....well behaved on leach for a daily walk and used to be free all day in garden and house.",0058586f1,3.0,4
2,Moo J,4,266,0,2,1,7,0,2,1,2,2,2,1,1,0,41326,c565bb65505d34552eceb7f58a076a67,1,"Moo J is a rescued kitten. When I first rescue her she was afraid with people but now she is very close to people although sometime she will be bit shy with around new people. She will follow you around and wants to play a lot. She is very healthy and active just like a kitten should. She spent most of her time indoor. She can be easily train at this age. She is also litter box train. I feed her dry food (iams dry food) and occasionally wet food (tin or packet) on every weekend just for treats. I do not expect any payment from giving away this kitten, I am very happy to be able to rescue and find a new warm and loving home for Moo J to stay. Please give me a buzz if you are interested. Please adopt don't shop.",059a68bf0,8.0,4
1,Mugsy,24,182,0,2,1,2,0,1,1,1,1,1,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,"Very Hyperactive, friendly, loves food, loves ppl, loves exercise. Adopters preferably an outdoor active person or must be willing to exercise her on a daily basis to keep her in shape and maintain a well balanced body n mind. she's more of a slimmer version. Healthy except has very minimal skin problem (just tht she will smell), therefore preferably be fed a high quality premium diet to improve her skin condition.",ec15875ea,5.0,3
2,Mr. Nighty,3,249,0,1,1,0,0,2,2,1,1,2,1,1,0,41326,9275d409b4e6a080858d384c5affeec6,0,"My name is Mr. Nighty. A kind hearted lady found me in the rain. I was badly sick and my eyes were infected. She took me to the vet and take care of me till I become healthy again, but she is a student and she is living in international housing. Her housemate is not a fan of animal. So I have been looking for my forever home. Please give me a chance. I am very good boy and quit, very cute and playful little boy. Please give him a chance to have a better life. Thanks. Frey, Mory",47dda9537,3.0,4
